fold,model_label,class_name,precision,recall,f1,support
4,0,Normal,1.0,1.0,1.0,2430
4,1,MITM,1.0,1.0,1.0,122
4,2,Fingerprinting,1.0,1.0,1.0,100
4,3,Ransomware,1.0,1.0,1.0,1092
4,4,Uploading,1.0,1.0,1.0,1027
4,5,SQL_injection,1.0,1.0,1.0,1031
4,6,DDoS_HTTP,1.0,1.0,1.0,1056
4,7,DDoS_TCP,1.0,1.0,1.0,1025
4,8,Password,1.0,1.0,1.0,999
4,9,Port_Scanning,1.0,1.0,1.0,1007
4,10,Vulnerability_scanner,1.0,1.0,1.0,1008
4,11,Backdoor,0.9990186457311089,0.9990186457311089,0.9990186457311089,1019
4,12,XSS,0.9990049751243781,0.9990049751243781,0.9990049751243781,1005
4,13,DDoS_UDP,1.0,1.0,1.0,1450
4,14,DDoS_ICMP,1.0,1.0,1.0,1409
