model,use_case,rag_total_time_s_mean,rag_total_time_s_std,rag_retrieval_time_s_mean,rag_retrieval_time_s_std,rag_llm_time_s_mean,rag_llm_time_s_std,rag_rss_diff_mb_mean,rag_rss_diff_mb_std,rag_est_cpu_usage_pct_mean,rag_est_cpu_usage_pct_std,rag_psutil_cpu_usage_pct_mean,rag_psutil_cpu_usage_pct_std,rag_response_bytes_mean,rag_response_bytes_std,rag_response_token_count_mean,rag_response_token_count_std,rag_nvml_gpu_memory_used_diff_mb_mean,rag_nvml_gpu_memory_used_diff_mb_std,rag_nvml_gpu_utilization_diff_pct_mean,rag_nvml_gpu_utilization_diff_pct_std,rag_smi_gpu_memory_used_diff_mb_mean,rag_smi_gpu_memory_used_diff_mb_std,rag_smi_gpu_utilization_diff_pct_mean,rag_smi_gpu_utilization_diff_pct_std,rag_torch_memory_allocated_diff_mb_mean,rag_torch_memory_allocated_diff_mb_std,rag_torch_memory_reserved_diff_mb_mean,rag_torch_memory_reserved_diff_mb_std
gemma2:9b,Device Management,0.8368928946768699,0.44972593759315327,0.027756805945743288,0.003439615701897421,0.8091251367980821,0.4494105678397535,0.0,0.0,1.8166024060597823,0.8101062075979936,3.5398084815321478,0.9148220675766547,214.11764705882354,190.72275611959193,53.60875512995896,50.332049540168036,0.0,0.0,17.351573187414502,56.96269682619909,0.0,0.0,20.025991792065664,56.29319657858798,0.0,0.0,0.0,0.0
gemma2:9b,Maintenance,0.9706887359951515,0.49955020280220797,0.02821667041386728,0.0035001417690827415,0.9424613719874184,0.4996273397476618,0.0,0.0,1.7863613210423253,0.7282077518891475,3.5027821939586645,0.7988871949503813,295.33227344992054,236.58800612347036,69.79173290937997,57.079865227144076,0.0,0.0,22.201907790143085,56.42944636213177,0.0,0.0,25.267090620031798,55.9708911034739,0.0,0.0,0.0,0.0
gemma2:9b,Safety,0.8220247340217657,0.3721612775119202,0.02867148059149143,0.0035734029518331026,0.7933427709850329,0.3718817572029532,0.0,0.0,1.8909845315805518,0.7420225490563555,3.2438291139240505,0.7541075408143066,255.00632911392404,173.90714672191157,54.13607594936709,42.53143328065796,0.0,0.0,20.13132911392405,55.15576702922804,0.0,0.0,23.97151898734177,54.82352450265723,0.0,0.0,0.0,0.0
gemma2:9b,Setup,0.7561876930244998,0.24739881853793544,0.02817674706821427,0.0033769406714631847,0.7280003757250318,0.24697447658887267,0.0003834355828220859,0.009790755624849467,1.8031570315182828,0.7634558122268289,3.1797546012269935,0.45858890079537823,186.92484662576686,111.39777551359526,45.20398773006135,27.495059453753516,0.0,0.0,11.524539877300613,55.72293495338059,0.0,0.0,14.930981595092025,55.1516815587566,0.0,0.0,0.0,0.0
gemma2:9b,Troubleshooting,0.8740028031927769,0.4145622287425995,0.028441765614931124,0.003430188637360034,0.845550096501226,0.4142901184742308,0.0,0.0,1.8563794754455758,0.812973035104305,3.513328313253012,0.9238661832900991,242.9277108433735,181.65326944990792,57.33584337349398,44.895254445050625,11.634506777108435,299.7225458364524,22.275602409638555,55.642775801377915,11.634036144578314,299.7104184848949,25.378012048192772,54.23876212364859,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,0.8770968943131036,0.36010065023580234,0.027599556980560318,0.0035730423674134753,0.8494860275677837,0.35989950639650425,0.0,0.0,2.1184762506646035,0.8227792682519002,3.1929548563611494,0.4972268541969577,338.9644322845417,227.78447839178673,82.95896032831737,56.16527432021985,0.0028214774281805745,0.07628431815007874,25.716826265389876,58.06166281714375,0.0,0.0,29.006839945280436,57.36531535000792,0.0,0.0,0.0,0.0
llama3.1:8b,Maintenance,0.9968141998373126,0.4043852214989206,0.027819918012557423,0.003123921107325955,0.9689833753178154,0.40433519704869236,0.0,0.0,2.18854258345067,0.7665655078761952,3.1609697933227343,0.6659953860062734,439.0683624801272,266.62233858733447,103.61049284578696,63.636827492354996,0.0,0.0,32.80445151033386,56.02014178744093,0.0,0.0,36.31637519872814,54.39546219914858,0.0,0.0,0.0,0.0
llama3.1:8b,Safety,0.7628154927788043,0.32118081594349945,0.027378795176296482,0.0032438672464946967,0.7354261708045025,0.32096900541035056,0.0,0.0,2.193468759388777,0.9007446342087952,3.284889240506329,0.816527175277381,317.96835443037975,204.43531041470294,68.73892405063292,51.1457617218197,0.0,0.0,15.253164556962025,56.22886634050177,0.0,0.0,19.314873417721518,56.229103745892665,0.0,0.0,0.0,0.0
llama3.1:8b,Setup,0.8057168720695733,0.3040953064529361,0.027409319085943188,0.00325969612178751,0.7782974115978538,0.3039840391482518,0.0003834355828220859,0.009790755624849467,2.146418697282463,0.8418204917795631,3.587269938650307,1.1045738872235278,299.96932515337426,206.87896305717376,71.90490797546012,47.479579316430886,0.0,0.0,21.11196319018405,56.95772581022962,0.0,0.0,24.95398773006135,55.901034722072126,0.0,0.0,0.0,0.0
llama3.1:8b,Troubleshooting,0.9192965267848852,0.3804566166526087,0.029672418440501374,0.03895994722350477,0.8896129770030503,0.36915785293085684,0.05421686746987952,1.387388353923276,2.1578623761858937,0.798266028348624,3.1479668674698793,0.6055671279155531,384.97138554216866,244.9950978557353,89.61596385542168,55.71050834668493,9.473832831325302,243.9681554553282,28.39457831325301,57.73255314841517,9.47289156626506,243.94390075385124,31.78614457831325,56.45978069737214,0.0,0.0,0.0,0.0
llava:7b,Device Management,0.7715397793978004,0.46590428045975374,0.027719044436161723,0.003084126528984949,0.7438096291781817,0.4657324516526846,0.0,0.0,2.9677314508890063,1.089671520323821,3.4785225718194255,0.8681682845970738,405.61149110807116,314.2987141729779,92.89876880984951,72.3000645037694,0.0,0.0,-2.210670314637483,12.467467625870043,0.0,0.0,-2.880984952120383,12.55042681645193,0.0,0.0,0.0,0.0
llava:7b,Maintenance,1.122758584490878,0.6160004877385235,0.027654195239912534,0.002682126644881851,1.0950937453651466,0.6159127561005909,0.0,0.0,2.94746812001039,0.8742982870279652,3.5013513513513512,1.1166775328369942,703.8903020667726,432.98260036024254,148.58346581875995,94.85959174784435,0.0,0.0,-5.763116057233704,14.84268377391048,0.0,0.0,-6.866454689984102,14.383552963376351,0.0,0.0,0.0,0.0
llava:7b,Safety,0.9892333421437659,0.4598579181153333,0.0280029680108345,0.0030854596418993293,0.9612198892739142,0.4597794600917093,0.00039556962025316455,0.009944466052196626,2.9371562540659997,0.8936506032698893,3.490506329113924,0.9675176447935305,683.6155063291139,344.07279471567006,128.16772151898735,71.08930814822747,0.0,0.0,-4.667721518987341,15.205419706839816,0.0,0.0,-5.3386075949367084,14.719217683526164,0.0,0.0,0.0,0.0
llava:7b,Setup,0.6992260428499774,0.4485662303990867,0.027732488522134675,0.003046944019523943,0.671482970209598,0.4482848594285519,0.0,0.0,3.0647239893349685,1.1920948055658265,3.4275306748466257,0.939223233973583,366.2638036809816,311.7027726420799,82.8282208588957,69.71284926681295,0.0,0.0,-0.9202453987730062,12.142133974355895,0.0,0.0,-2.2193251533742333,12.1648707617415,0.0,0.0,0.0,0.0
llava:7b,Troubleshooting,1.07586140333428,0.629752637095825,0.027765082621789842,0.0030715619462501533,1.0480859258144826,0.6297093697040971,0.0,0.0,2.946178127416365,0.9459443679831087,3.5124246987951806,0.9691430776877452,648.1581325301205,435.31001833229044,140.53463855421685,97.4304811007895,1.571253765060241,40.48837726754941,-4.731927710843373,14.339888525188288,1.5707831325301205,40.476249915585264,-5.686746987951807,14.127241389644619,0.0,0.0,0.0,0.0
mistral:7b,Device Management,0.7156606031105269,0.3886124062561429,0.027763155183249066,0.0035941430689792804,0.6878865819561987,0.3881612127550625,0.0003419972640218878,0.009246584018191365,2.7722272347088324,1.0352246400466905,4.163611491108071,3.1830312221501758,326.16552667578657,233.92294414243193,78.12311901504788,56.57487364362969,0.008122435020519837,0.30566720037712797,-0.8385772913816689,14.5134303470572,0.008207934336525308,0.30509543172179426,-2.255813953488372,13.862493143429889,0.0,0.0,0.0,0.0
mistral:7b,Maintenance,1.104404417457376,0.6628717467133501,0.028346096347596952,0.003084508204285391,1.07604824514417,0.6631042118748576,0.0,0.0,2.8279849366759384,0.9028335980986942,3.378616852146264,0.739856993262809,569.9030206677265,385.86210261709294,133.54213036565977,92.86498086604279,0.0,0.0,-5.017488076311606,14.980178391314501,0.0,0.0,-5.747217806041335,14.910177327842481,0.0,0.0,0.0,0.0
mistral:7b,Safety,0.808249574914999,0.457003936527333,0.028203165244098893,0.003378151521133789,0.7800362357380505,0.4570353012751316,0.0,0.0,2.9691625786419484,1.0731016566405842,3.440268987341772,0.8846800116956091,455.00791139240505,277.27774743775774,92.3117088607595,64.79984535299813,-9.889240506329114e-05,0.0024861165130491566,-2.384493670886076,13.953713843011048,0.0031645569620253164,0.07955572841757301,-3.3275316455696204,13.556081842178207,0.0,0.0,0.0,0.0
mistral:7b,Setup,0.6375932782242771,0.3388433436769661,0.028300903648983664,0.003242606620892583,0.6092820198823657,0.338860655047703,0.0,0.0,2.949011474437652,1.203472321768533,3.5325153374233125,1.2972709597184253,287.07208588957053,210.18477574965488,67.67791411042944,49.332882288642466,0.0,0.0,0.007668711656441718,12.588791350841655,0.0,0.0,-1.1226993865030674,11.945613058790784,0.0,0.0,0.0,0.0
mistral:7b,Troubleshooting,0.8833661922029253,0.4678400693332699,0.027996174407651626,0.0033436159587879556,0.8553592614599514,0.46751154821364493,0.0,0.0,2.925112014997836,0.9976187593084244,3.4390060240963853,0.6858126423126161,441.98192771084337,275.5832640410264,102.10993975903614,66.61099079066466,0.5863140060240963,15.10825507695234,-3.9879518072289155,15.487741642934171,0.5858433734939759,15.096127724988179,-5.496987951807229,14.616051114781309,0.0,0.0,0.0,0.0
