model,use_case,no_context_total_time_s_mean,no_context_total_time_s_std,no_context_retrieval_time_s_mean,no_context_retrieval_time_s_std,no_context_llm_time_s_mean,no_context_llm_time_s_std,no_context_rss_diff_mb_mean,no_context_rss_diff_mb_std,no_context_est_cpu_usage_pct_mean,no_context_est_cpu_usage_pct_std,no_context_psutil_cpu_usage_pct_mean,no_context_psutil_cpu_usage_pct_std,no_context_response_bytes_mean,no_context_response_bytes_std,no_context_response_token_count_mean,no_context_response_token_count_std,no_context_nvml_gpu_memory_used_diff_mb_mean,no_context_nvml_gpu_memory_used_diff_mb_std,no_context_nvml_gpu_utilization_diff_pct_mean,no_context_nvml_gpu_utilization_diff_pct_std,no_context_smi_gpu_memory_used_diff_mb_mean,no_context_smi_gpu_memory_used_diff_mb_std,no_context_smi_gpu_utilization_diff_pct_mean,no_context_smi_gpu_utilization_diff_pct_std,no_context_torch_memory_allocated_diff_mb_mean,no_context_torch_memory_allocated_diff_mb_std,no_context_torch_memory_reserved_diff_mb_mean,no_context_torch_memory_reserved_diff_mb_std
gemma2:9b,Device Management,2.8818761431542,0.974925391946794,0.0,0.0,2.88187464212721,0.9749253506319061,0.0,0.0,1.7580333109436415,0.3676539602315587,3.4306429548563613,0.8478163714752115,1309.5991792065663,481.7008188166597,322.93296853625174,123.19303104432511,0.0,0.0,39.395348837209305,39.3444003811311,0.0,0.0,37.79343365253078,39.1624961858785,0.0,0.0,0.0,0.0
gemma2:9b,Maintenance,3.51235901164883,0.9815971823394367,0.0,0.0,3.5123575691649,0.9815971631001384,0.000397456279809221,0.00996815278536125,1.7541829581961166,0.3698591691836275,3.4935612082670904,0.7887408562800692,1717.3608903020668,521.103845962504,399.72655007949123,121.09128897368461,0.0,0.0,35.09220985691574,38.70525260664791,0.0,0.0,33.968203497615264,38.47568021834384,0.0,0.0,0.0,0.0
gemma2:9b,Safety,3.426435559578358,0.8969884985933994,0.0,0.0,3.426434118138579,0.8969885166508421,0.0,0.0,1.7728500461033265,0.36328855107757535,3.1140822784810127,0.6345627139302228,1782.5806962025317,461.78181036878243,387.6392405063291,110.75859836001102,0.0,0.0,38.41930379746835,38.790221383105695,0.0,0.0,37.06645569620253,38.61092873175854,0.0,0.0,0.0,0.0
gemma2:9b,Setup,3.1679210766058623,1.0602450398298557,0.0,0.0,3.1679196163777696,1.0602450239268035,0.0003834355828220859,0.009790755624849467,1.794284260228233,0.3751002638322663,3.0706288343558286,0.46485556314809207,1476.648773006135,516.9943065539937,359.1825153374233,131.12586606254544,0.0,0.0,45.36503067484663,37.98469905182124,0.0,0.0,43.50920245398773,37.92844230206737,0.0,0.0,0.0,0.0
gemma2:9b,Troubleshooting,3.6354224651614317,1.0210425877794778,0.0,0.0,3.6354209864035205,1.0210425790151778,0.00037650602409638556,0.009701881571329158,1.7916303299612115,0.3444928198347695,3.4947289156626504,1.065658614360251,1738.0677710843374,523.2321523899042,413.23192771084337,125.21565278776315,-1.571253765060241,40.488377267549424,35.96686746987952,38.69771607457139,-1.5707831325301205,40.476249915585264,34.90813253012048,38.405618698811736,0.0,0.0,0.0,0.0
llama3.1:8b,Device Management,3.1207499360556112,0.7867732335787828,0.0,0.0,3.1207485086145708,0.7867732253971331,0.0,0.0,2.214137677127606,0.47349624134388807,3.0912448700410393,0.45141932510672583,1918.3351573187415,552.8326741409974,466.5759233926129,129.85128762925282,-0.0028214774281805745,0.07628431815007876,35.31737346101231,39.94778045777765,-0.0027359781121751026,0.07397267214553092,34.07250341997264,39.66636816561772,0.0,0.0,0.0,0.0
llama3.1:8b,Maintenance,3.1713884250129114,0.7461250549355137,0.0,0.0,3.1713870064561243,0.7461250757305133,0.000794912559618442,0.014085868585996385,2.2489724066082215,0.4610496531268848,3.077027027027027,0.5158175449848876,2062.4880763116057,550.3819217687193,475.39109697933225,121.48346451229224,0.0,0.0,31.83783783783784,39.44066452593753,0.0,0.0,30.36724960254372,39.11342654248801,0.0,0.0,0.0,0.0
llama3.1:8b,Safety,2.626854750557649,0.7497173277138863,0.0,0.0,2.626853370157813,0.7497173336626773,0.0,0.0,2.2295964411970073,0.516450834688014,3.076977848101266,0.4478643240506293,1778.4683544303798,529.1540319115545,385.65348101265823,122.02524427932573,0.0032634493670886076,0.08204184493062215,44.25791139240506,40.02968313146443,0.0031645569620253164,0.07955572841757301,43.049050632911396,39.958882976539435,0.0,0.0,0.0,0.0
llama3.1:8b,Setup,3.225751730653406,0.7723529991430463,0.0,0.0,3.225750327138859,0.7723530074828954,0.0003834355828220859,0.009790755624849467,2.1866169135013034,0.44072558848812815,3.4787576687116566,0.9450764106590066,1998.3819018404909,539.3143822748303,479.5490797546012,125.52375941366341,0.0,0.11262686991991293,41.10889570552147,40.1519247807874,0.0,0.11085479909473865,39.45858895705521,39.82746742060735,0.0,0.0,0.0,0.0
llama3.1:8b,Troubleshooting,3.2779827975409934,0.7369053213220973,0.0,0.0,3.2779814148074893,0.7369053251615693,0.0,0.0,2.263317589178141,0.447452365337041,3.070933734939759,0.4452006870063388,2107.524096385542,521.095857140986,492.11897590361446,121.16657445253004,0.0030120481927710845,0.07761505257063327,34.0933734939759,39.8522953695175,0.0030120481927710845,0.07761505257063327,32.5527108433735,39.35207050042488,0.0,0.0,0.0,0.0
