model,use_case,rag_bert_Precision_mean_raw,no_context_bert_Precision_mean_raw,rag_bert_Precision_mean,no_context_bert_Precision_mean,rag_bert_Recall_mean_raw,no_context_bert_Recall_mean_raw,rag_bert_Recall_mean,no_context_bert_Recall_mean,rag_bert_F1_mean_raw,no_context_bert_F1_mean_raw,rag_bert_F1_mean,no_context_bert_F1_mean,rag_rouge1_mean_raw,no_context_rouge1_mean_raw,rag_rouge1_mean,no_context_rouge1_mean,rag_rouge2_mean_raw,no_context_rouge2_mean_raw,rag_rouge2_mean,no_context_rouge2_mean,rag_rougeL_mean_raw,no_context_rougeL_mean_raw,rag_rougeL_mean,no_context_rougeL_mean,rag_bleu_mean_raw,no_context_bleu_mean_raw,rag_bleu_mean,no_context_bleu_mean,rag_meteor_mean_raw,no_context_meteor_mean_raw,rag_meteor_mean,no_context_meteor_mean
gemma2:9b,Device Management,0.9377436859663143,0.8033062034527352,93.77436859663143,80.33062034527352,0.9405402468591317,0.877728727545523,94.05402468591318,87.7728727545523,0.938734533196435,0.8384279737557334,93.8734533196435,83.84279737557334,0.720437690315669,0.1963204761322262,72.0437690315669,19.63204761322262,0.6219223834242601,0.07574599532253501,62.19223834242601,7.574599532253501,0.6807595326616714,0.139244528720145,68.07595326616715,13.9244528720145,0.47415970474859603,0.011810618064994753,47.415970474859606,1.1810618064994753,0.664666677944133,0.20450761716401966,66.4666677944133,20.450761716401967
gemma2:9b,Maintenance,0.8979781631066424,0.7882264980451101,89.79781631066423,78.82264980451102,0.9353782046580352,0.876573846241628,93.53782046580352,87.6573846241628,0.915677867083557,0.829884938954928,91.5677867083557,82.9884938954928,0.5900206744029266,0.12939312152293855,59.00206744029266,12.939312152293855,0.4954794160225878,0.04375549096266199,49.54794160225878,4.375549096266199,0.5441666521085128,0.09276204461508555,54.41666521085128,9.276204461508556,0.3703668385348973,0.006623476378613768,37.036683853489734,0.6623476378613767,0.5933964681565709,0.17563951323625804,59.33964681565709,17.563951323625805
gemma2:9b,Safety,0.9328405594901193,0.7974699191466162,93.28405594901193,79.74699191466162,0.9586997807403154,0.88469945073505,95.86997807403154,88.469945073505,0.9450969867691209,0.8386675641883777,94.5096986769121,83.86675641883777,0.7507791428744585,0.1403531098565402,75.07791428744585,14.03531098565402,0.6683593166579661,0.04857572459381052,66.83593166579661,4.8575724593810525,0.7084689754835323,0.10051068476025805,70.84689754835323,10.051068476025806,0.5223102948500301,0.01005941430416282,52.23102948500301,1.0059414304162821,0.7289910580441261,0.20945437434050776,72.89910580441261,20.945437434050778
gemma2:9b,Setup,0.955160868679819,0.8018852880030322,95.5160868679819,80.18852880030322,0.9591317663163496,0.8867427831961333,95.91317663163495,88.67427831961334,0.9568705933591339,0.8419287013678463,95.68705933591339,84.19287013678462,0.8133392959485642,0.1894459256186674,81.33392959485643,18.94459256186674,0.7550407732976527,0.07995653761825763,75.50407732976527,7.995653761825763,0.7933170309331944,0.1436315968112182,79.33170309331943,14.36315968112182,0.6279248020314145,0.01351292935615048,62.79248020314145,1.351292935615048,0.7749708604381585,0.22293198831246872,77.49708604381586,22.293198831246873
gemma2:9b,Troubleshooting,0.9147934114717575,0.7913941854992544,91.47934114717575,79.13941854992544,0.9341735138771046,0.8782668664871928,93.41735138771045,87.82668664871927,0.9239199683967844,0.8323583698057266,92.39199683967844,83.23583698057266,0.64294868318578,0.15521161519248858,64.294868318578,15.521161519248858,0.5388926112733212,0.054532373617186915,53.88926112733212,5.453237361718691,0.5922947373565406,0.10886672276969867,59.22947373565406,10.886672276969867,0.41476662013941684,0.009562881957384892,41.476662013941684,0.9562881957384892,0.6203294183533888,0.2060604668673234,62.03294183533888,20.60604668673234
llama3.1:8b,Device Management,0.8941376980613259,0.7994941981807453,89.41376980613259,79.94941981807453,0.9310773618407191,0.8776313922636813,93.10773618407191,87.76313922636812,0.9116854855202128,0.836374419006212,91.16854855202128,83.6374419006212,0.6017185743313946,0.15411592652424339,60.171857433139465,15.41159265242434,0.4919490994357326,0.06389228776547085,49.194909943573265,6.3892287765470845,0.5434095845696091,0.11218235903667487,54.340958456960905,11.218235903667487,0.2952118607368596,0.012550969254896268,29.52118607368596,1.2550969254896267,0.6211677250319778,0.19566618861930982,62.11677250319778,19.56661886193098
llama3.1:8b,Maintenance,0.8625082684435034,0.7886748442778716,86.25082684435034,78.86748442778716,0.9283827619067436,0.875086068159446,92.83827619067436,87.5086068159446,0.8938531472876265,0.8294955168884774,89.38531472876265,82.94955168884775,0.470533936919384,0.10582336647919408,47.0533936919384,10.582336647919407,0.37402457191943395,0.0389430781399081,37.4024571919434,3.89430781399081,0.41442868499199653,0.07982975508555372,41.442868499199655,7.982975508555372,0.21867972711327283,0.006899376332982886,21.867972711327283,0.6899376332982886,0.5652864497889838,0.1651826969480668,56.52864497889838,16.51826969480668
llama3.1:8b,Safety,0.903370380212989,0.8020092085758342,90.3370380212989,80.20092085758343,0.9516887197954745,0.8852483930089806,95.16887197954745,88.52483930089807,0.9265459863634049,0.8414092234606985,92.6545986363405,84.14092234606984,0.6711228848575381,0.13488240901576687,67.11228848575381,13.488240901576686,0.5953993553464819,0.04981419221479401,59.539935534648194,4.981419221479401,0.6352474070071741,0.09976775261547371,63.52474070071741,9.976775261547372,0.45075626765633786,0.011933944392954508,45.075626765633785,1.1933944392954507,0.7303574171455338,0.21230468598419205,73.03574171455338,21.230468598419204
llama3.1:8b,Setup,0.9156170733318738,0.7992161137560394,91.56170733318739,79.92161137560394,0.955220478078339,0.8851170967692977,95.5220478078339,88.51170967692977,0.9346910553292994,0.8397675931819377,93.46910553292994,83.97675931819377,0.7174402226274169,0.14540131887586,71.7440222627417,14.540131887586,0.6353929529389678,0.06458992168572951,63.53929529389678,6.4589921685729506,0.6916506783739944,0.1139209962762724,69.16506783739945,11.39209962762724,0.4726889052765519,0.01275114142439625,47.26889052765519,1.275114142439625,0.7437245299993518,0.20942762967658773,74.37245299993518,20.942762967658773
llama3.1:8b,Troubleshooting,0.8786016814859516,0.7924594055995884,87.86016814859516,79.24594055995884,0.9295720242592226,0.877157641911363,92.95720242592226,87.7157641911363,0.9030133184180202,0.8324951961277479,90.30133184180202,83.24951961277479,0.5592810935176926,0.1280597764924294,55.928109351769265,12.805977649242939,0.4502889793021615,0.04900278452352374,45.02889793021615,4.9002784523523735,0.49820530094531223,0.09411867419686355,49.82053009453122,9.411867419686356,0.2898440215820857,0.009048644274784566,28.98440215820857,0.9048644274784566,0.6212041214902233,0.1961620343586068,62.12041214902233,19.61620343586068
