fold,model_label,class_name,precision,recall,f1,support
2,0,Normal,1.0,0.9983545865898807,0.9991766158913133,2431
2,1,MITM,1.0,1.0,1.0,122
2,2,Fingerprinting,1.0,1.0,1.0,100
2,3,Ransomware,0.9990850869167429,1.0,0.9995423340961098,1092
2,4,Uploading,1.0,1.0,1.0,1027
2,5,SQL_injection,1.0,1.0,1.0,1031
2,6,DDoS_HTTP,1.0,1.0,1.0,1056
2,7,DDoS_TCP,1.0,1.0,1.0,1025
2,8,Password,1.0,0.997997997997998,0.998997995991984,999
2,9,Port_Scanning,1.0,1.0,1.0,1007
2,10,Vulnerability_scanner,1.0,1.0,1.0,1008
2,11,Backdoor,0.9960899315738025,1.0,0.9980411361410382,1019
2,12,XSS,1.0,1.0,1.0,1005
2,13,DDoS_UDP,0.9993103448275862,1.0,0.9996550534667127,1449
2,14,DDoS_ICMP,1.0,1.0,1.0,1409
