source_row_index,split,fold
0,fit,2
1,fit,2
2,validation,2
3,test,2
4,fit,2
5,fit,2
6,fit,2
7,fit,2
8,test,2
9,fit,2
10,fit,2
11,test,2
12,fit,2
13,fit,2
14,test,2
15,fit,2
16,fit,2
17,test,2
18,validation,2
19,test,2
20,fit,2
21,fit,2
22,fit,2
23,fit,2
24,fit,2
25,fit,2
26,fit,2
27,fit,2
28,fit,2
29,test,2
30,fit,2
31,fit,2
32,test,2
33,fit,2
34,fit,2
35,fit,2
36,fit,2
37,fit,2
38,fit,2
39,validation,2
40,fit,2
41,fit,2
42,fit,2
43,fit,2
44,fit,2
45,fit,2
46,test,2
47,fit,2
48,fit,2
49,fit,2
50,fit,2
51,fit,2
52,validation,2
53,fit,2
54,fit,2
55,fit,2
56,fit,2
57,fit,2
58,fit,2
59,fit,2
60,test,2
61,fit,2
62,fit,2
63,fit,2
64,fit,2
65,validation,2
66,fit,2
67,fit,2
68,fit,2
69,fit,2
70,fit,2
71,fit,2
72,fit,2
73,fit,2
74,fit,2
75,fit,2
76,fit,2
77,fit,2
78,fit,2
79,fit,2
80,fit,2
81,fit,2
82,fit,2
83,fit,2
84,fit,2
85,fit,2
86,fit,2
87,fit,2
88,fit,2
89,fit,2
90,fit,2
91,fit,2
92,fit,2
93,test,2
94,fit,2
95,fit,2
96,validation,2
97,validation,2
98,fit,2
99,fit,2
100,fit,2
101,fit,2
102,fit,2
103,fit,2
104,fit,2
105,validation,2
106,fit,2
107,fit,2
108,fit,2
109,fit,2
110,fit,2
111,fit,2
112,validation,2
113,fit,2
114,fit,2
115,fit,2
116,fit,2
117,validation,2
118,fit,2
119,fit,2
120,fit,2
121,fit,2
122,fit,2
123,fit,2
124,fit,2
125,fit,2
126,fit,2
127,fit,2
128,validation,2
129,validation,2
130,fit,2
131,fit,2
132,validation,2
133,fit,2
134,fit,2
135,fit,2
136,fit,2
137,fit,2
138,fit,2
139,fit,2
140,fit,2
141,fit,2
142,test,2
143,test,2
144,test,2
145,fit,2
146,validation,2
147,validation,2
148,fit,2
149,fit,2
150,fit,2
151,fit,2
152,validation,2
153,fit,2
154,fit,2
155,fit,2
156,validation,2
157,fit,2
158,fit,2
159,fit,2
160,fit,2
161,test,2
162,validation,2
163,validation,2
164,fit,2
165,fit,2
166,test,2
167,test,2
168,fit,2
169,validation,2
170,fit,2
171,fit,2
172,fit,2
173,fit,2
174,fit,2
175,fit,2
176,fit,2
177,test,2
178,validation,2
179,fit,2
180,validation,2
181,validation,2
182,test,2
183,fit,2
184,fit,2
185,test,2
186,fit,2
187,validation,2
188,validation,2
189,test,2
190,fit,2
191,fit,2
192,fit,2
193,fit,2
194,validation,2
195,test,2
196,fit,2
197,fit,2
198,fit,2
199,validation,2
200,fit,2
201,fit,2
202,fit,2
203,fit,2
204,fit,2
205,fit,2
206,fit,2
207,fit,2
208,test,2
209,fit,2
210,test,2
211,fit,2
212,fit,2
213,fit,2
214,validation,2
215,fit,2
216,test,2
217,fit,2
218,fit,2
219,fit,2
220,fit,2
221,fit,2
222,fit,2
223,fit,2
224,fit,2
225,fit,2
226,fit,2
227,validation,2
228,test,2
229,fit,2
230,fit,2
231,fit,2
232,fit,2
233,fit,2
234,fit,2
235,fit,2
236,fit,2
237,test,2
238,validation,2
239,fit,2
240,fit,2
241,fit,2
242,fit,2
243,fit,2
244,fit,2
245,fit,2
246,fit,2
247,validation,2
248,fit,2
249,fit,2
250,fit,2
251,fit,2
252,fit,2
253,fit,2
254,fit,2
255,fit,2
256,fit,2
257,fit,2
258,fit,2
259,fit,2
260,fit,2
261,fit,2
262,test,2
263,fit,2
264,fit,2
265,fit,2
266,fit,2
267,validation,2
268,fit,2
269,fit,2
270,fit,2
271,fit,2
272,test,2
273,fit,2
274,test,2
275,fit,2
276,fit,2
277,fit,2
278,test,2
279,validation,2
280,fit,2
281,test,2
282,fit,2
283,fit,2
284,fit,2
285,fit,2
286,fit,2
287,validation,2
288,validation,2
289,fit,2
290,fit,2
291,fit,2
292,fit,2
293,fit,2
294,fit,2
295,fit,2
296,fit,2
297,validation,2
298,fit,2
299,fit,2
300,validation,2
301,fit,2
302,fit,2
303,test,2
304,fit,2
305,test,2
306,fit,2
307,fit,2
308,fit,2
309,fit,2
310,fit,2
311,fit,2
312,fit,2
313,fit,2
314,fit,2
315,validation,2
316,fit,2
317,fit,2
318,fit,2
319,fit,2
320,fit,2
321,fit,2
322,fit,2
323,fit,2
324,fit,2
325,fit,2
326,fit,2
327,fit,2
328,fit,2
329,test,2
330,fit,2
331,fit,2
332,fit,2
333,fit,2
334,fit,2
335,fit,2
336,fit,2
337,test,2
338,fit,2
339,fit,2
340,fit,2
341,fit,2
342,fit,2
343,fit,2
344,fit,2
345,fit,2
346,fit,2
347,fit,2
348,fit,2
349,fit,2
350,fit,2
351,fit,2
352,fit,2
353,fit,2
354,fit,2
355,fit,2
356,test,2
357,fit,2
358,fit,2
359,validation,2
360,fit,2
361,fit,2
362,fit,2
363,fit,2
364,fit,2
365,test,2
366,fit,2
367,fit,2
368,fit,2
369,fit,2
370,fit,2
371,fit,2
372,fit,2
373,fit,2
374,fit,2
375,fit,2
376,fit,2
377,validation,2
378,fit,2
379,fit,2
380,fit,2
381,fit,2
382,fit,2
383,fit,2
384,fit,2
385,fit,2
386,fit,2
387,fit,2
388,fit,2
389,fit,2
390,test,2
391,fit,2
392,fit,2
393,fit,2
394,fit,2
395,fit,2
396,fit,2
397,fit,2
398,fit,2
399,validation,2
400,fit,2
401,fit,2
402,fit,2
403,fit,2
404,fit,2
405,fit,2
406,fit,2
407,validation,2
408,fit,2
409,fit,2
410,validation,2
411,fit,2
412,fit,2
413,fit,2
414,fit,2
415,fit,2
416,fit,2
417,fit,2
418,fit,2
419,fit,2
420,fit,2
421,fit,2
422,fit,2
423,validation,2
424,fit,2
425,fit,2
426,fit,2
427,fit,2
428,fit,2
429,fit,2
430,fit,2
431,fit,2
432,validation,2
433,fit,2
434,test,2
435,fit,2
436,fit,2
437,fit,2
438,fit,2
439,test,2
440,fit,2
441,fit,2
442,fit,2
443,test,2
444,fit,2
445,fit,2
446,validation,2
447,fit,2
448,fit,2
449,fit,2
450,fit,2
451,validation,2
452,test,2
453,test,2
454,fit,2
455,fit,2
456,validation,2
457,fit,2
458,fit,2
459,fit,2
460,fit,2
461,validation,2
462,fit,2
463,test,2
464,fit,2
465,fit,2
466,fit,2
467,fit,2
468,validation,2
469,fit,2
470,fit,2
471,validation,2
472,fit,2
473,fit,2
474,fit,2
475,fit,2
476,validation,2
477,fit,2
478,fit,2
479,fit,2
480,fit,2
481,fit,2
482,fit,2
483,fit,2
484,validation,2
485,fit,2
486,fit,2
487,fit,2
488,fit,2
489,fit,2
490,fit,2
491,fit,2
492,fit,2
493,fit,2
494,test,2
495,fit,2
496,fit,2
497,test,2
498,fit,2
499,fit,2
500,fit,2
501,fit,2
502,fit,2
503,validation,2
504,fit,2
505,fit,2
506,fit,2
507,fit,2
508,fit,2
509,validation,2
510,validation,2
511,fit,2
512,validation,2
513,fit,2
514,fit,2
515,fit,2
516,fit,2
517,fit,2
518,fit,2
519,fit,2
520,fit,2
521,fit,2
522,fit,2
523,fit,2
524,fit,2
525,fit,2
526,fit,2
527,fit,2
528,fit,2
529,fit,2
530,fit,2
531,fit,2
532,fit,2
533,fit,2
534,fit,2
535,fit,2
536,fit,2
537,fit,2
538,fit,2
539,test,2
540,test,2
541,test,2
542,fit,2
543,fit,2
544,validation,2
545,validation,2
546,fit,2
547,fit,2
548,fit,2
549,fit,2
550,fit,2
551,validation,2
552,fit,2
553,validation,2
554,fit,2
555,fit,2
556,test,2
557,fit,2
558,fit,2
559,fit,2
560,test,2
561,fit,2
562,fit,2
563,fit,2
564,fit,2
565,fit,2
566,fit,2
567,fit,2
568,fit,2
569,fit,2
570,fit,2
571,fit,2
572,fit,2
573,fit,2
574,fit,2
575,fit,2
576,fit,2
577,fit,2
578,fit,2
579,fit,2
580,fit,2
581,fit,2
582,fit,2
583,fit,2
584,fit,2
585,fit,2
586,test,2
587,fit,2
588,test,2
589,fit,2
590,test,2
591,fit,2
592,validation,2
593,fit,2
594,test,2
595,fit,2
596,fit,2
597,fit,2
598,fit,2
599,fit,2
600,fit,2
601,fit,2
602,fit,2
603,fit,2
604,fit,2
605,fit,2
606,fit,2
607,fit,2
608,fit,2
609,fit,2
610,test,2
611,fit,2
612,test,2
613,fit,2
614,fit,2
615,fit,2
